0x00	0x1D6E4	#MATHEMATICAL ITALIC CAPITAL GAMMA
0x01	0x1D6E5	#MATHEMATICAL ITALIC CAPITAL DELTA
0x02	0x1D6E9	#MATHEMATICAL ITALIC CAPITAL THETA
0x03	0x1D6EC	#MATHEMATICAL ITALIC CAPITAL LAMDA
0x04	0x1D6EF	#MATHEMATICAL ITALIC CAPITAL XI
0x05	0x1D6F1	#MATHEMATICAL ITALIC CAPITAL PI
0x06	0x1D6F4	#MATHEMATICAL ITALIC CAPITAL SIGMA
0x07	0x1D6F6	#MATHEMATICAL ITALIC CAPITAL UPSILON
0x08	0x1D6F7	#MATHEMATICAL ITALIC CAPITAL PHI
0x09	0x1D6F9	#MATHEMATICAL ITALIC CAPITAL PSI
0x0A	0x1D6FA	#MATHEMATICAL ITALIC CAPITAL OMEGA
0x0B	0x1D6FC	#MATHEMATICAL ITALIC SMALL ALPHA
0x0C	0x1D6FD	#MATHEMATICAL ITALIC SMALL BETA
0x0D	0x1D6FE	#MATHEMATICAL ITALIC SMALL GAMMA
0x0E	0x1D6FF	#MATHEMATICAL ITALIC SMALL DELTA
0x0F	0x1D716	#MATHEMATICAL ITALIC EPSILON SYMBOL
0x10	0x1D701	#MATHEMATICAL ITALIC SMALL ZETA
0x11	0x1D702	#MATHEMATICAL ITALIC SMALL ETA
0x12	0x1D703	#MATHEMATICAL ITALIC SMALL THETA
0x13	0x1D704	#MATHEMATICAL ITALIC SMALL IOTA
0x14	0x1D705	#MATHEMATICAL ITALIC SMALL KAPPA
0x15	0x1D706	#MATHEMATICAL ITALIC SMALL LAMDA
0x16	0x1D707	#MATHEMATICAL ITALIC SMALL MU
0x17	0x1D708	#MATHEMATICAL ITALIC SMALL NU
0x18	0x1D709	#MATHEMATICAL ITALIC SMALL XI
0x19	0x1D70B	#MATHEMATICAL ITALIC SMALL PI
0x1A	0x1D70C	#MATHEMATICAL ITALIC SMALL RHO
0x1B	0x1D70E	#MATHEMATICAL ITALIC SMALL SIGMA
0x1C	0x1D70F	#MATHEMATICAL ITALIC SMALL TAU
0x1D	0x1D710	#MATHEMATICAL ITALIC SMALL UPSILON
0x1E	0x1D719	#MATHEMATICAL ITALIC PHI SYMBOL
0x1F	0x1D712	#MATHEMATICAL ITALIC SMALL CHI
0x20	0x1D713	#MATHEMATICAL ITALIC SMALL PSI
0x21	0x1D714	#MATHEMATICAL ITALIC SMALL OMEGA
0x22	0x1D700	#MATHEMATICAL ITALIC SMALL EPSILON
0x23	0x1D717	#MATHEMATICAL ITALIC THETA SYMBOL
0x24	0x1D71B	#MATHEMATICAL ITALIC PI SYMBOL
0x25	0x1D71A	#MATHEMATICAL ITALIC RHO SYMBOL
0x26	0x1D70D	#MATHEMATICAL ITALIC SMALL FINAL SIGMA
0x27	0x1D711	#MATHEMATICAL ITALIC SMALL PHI
0x28	0x21BC	#LEFTWARDS HARPOON WITH BARB UPWARDS
0x29	0x21BD	#LEFTWARDS HARPOON WITH BARB DOWNWARDS
0x2A	0x21C0	#RIGHTWARDS HARPOON WITH BARB UPWARDS
0x2B	0x21C1	#RIGHTWARDS HARPOON WITH BARB DOWNWARDS
0x2C	0x02D3	#MODIFIER LETTER CENTRED LEFT HALF RING
0x2D	0x02D2	#MODIFIER LETTER CENTRED RIGHT HALF RING
