0x00	0x040A	#CYRILLIC CAPITAL LETTER NJE
0x01	0x0409	#CYRILLIC CAPITAL LETTER LJE
0x02	0x040F	#CYRILLIC CAPITAL LETTER DZHE
0x03	0x042D	#CYRILLIC CAPITAL LETTER E
0x04	0x0406	#CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0x05	0x0404	#CYRILLIC CAPITAL LETTER UKRAINIAN IE
0x06	0x0402	#CYRILLIC CAPITAL LETTER DJE
0x07	0x040B	#CYRILLIC CAPITAL LETTER TSHE
0x08	0x045A	#CYRILLIC SMALL LETTER NJE
0x09	0x0459	#CYRILLIC SMALL LETTER LJE
0x0A	0x045F	#CYRILLIC SMALL LETTER DZHE
0x0B	0x044D	#CYRILLIC SMALL LETTER E
0x0C	0x0456	#CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0x0D	0x0454	#CYRILLIC SMALL LETTER UKRAINIAN IE
0x0E	0x0452	#CYRILLIC SMALL LETTER DJE
0x0F	0x045B	#CYRILLIC SMALL LETTER TSHE
0x10	0x042E	#CYRILLIC CAPITAL LETTER YU
0x11	0x0416	#CYRILLIC CAPITAL LETTER ZHE
0x12	0x0419	#CYRILLIC CAPITAL LETTER SHORT I
0x13	0x0401	#CYRILLIC CAPITAL LETTER IO
0x14	0x0474	#CYRILLIC CAPITAL LETTER IZHITSA
0x15	0x0472	#CYRILLIC CAPITAL LETTER FITA
0x16	0x0405	#CYRILLIC CAPITAL LETTER DZE
0x17	0x042F	#CYRILLIC CAPITAL LETTER YA
0x18	0x044E	#CYRILLIC SMALL LETTER YU
0x19	0x0436	#CYRILLIC SMALL LETTER ZHE
0x1A	0x0439	#CYRILLIC SMALL LETTER SHORT I
0x1B	0x0451	#CYRILLIC SMALL LETTER IO
0x1C	0x0475	#CYRILLIC SMALL LETTER IZHITSA
0x1D	0x0473	#CYRILLIC SMALL LETTER FITA
0x1E	0x0455	#CYRILLIC SMALL LETTER DZE
0x1F	0x044F	#CYRILLIC SMALL LETTER YA
0x20	0x00A8	#(dieresis)DIAERESIS
0x21	0x0021	#(exclam)EXCLAMATION MARK
0x22	0x201D	#(quotedblright)RIGHT DOUBLE QUOTATION MARK
0x23	0x0462	#CYRILLIC CAPITAL LETTER YAT
0x24	0x02D8	#(breve)BREVE
0x25	0x0025	#(percent)PERCENT SIGN
0x26	0x00B4	#(acute)ACUTE ACCENT
0x27	0x2019	#(quoteright)RIGHT SINGLE QUOTATION MARK
0x28	0x0028	#(parenleft)LEFT PARENTHESIS
0x29	0x0029	#(parenright)RIGHT PARENTHESIS
0x2A	0x002A	#(asterisk)ASTERISK
0x2B	0x0463	#CYRILLIC SMALL LETTER YAT
0x2C	0x002C	#(comma)COMMA
0x2D	0x002D	#(hyphen)HYPHEN-MINUS
0x2E	0x002E	#(period)FULL STOP
0x2F	0x002F	#(slash)SOLIDUS
0x30	0x0030	#(zero)DIGIT ZERO
0x31	0x0031	#(one)DIGIT ONE
0x32	0x0032	#(two)DIGIT TWO
0x33	0x0033	#(three)DIGIT THREE
0x34	0x0034	#(four)DIGIT FOUR
0x35	0x0035	#(five)DIGIT FIVE
0x36	0x0036	#(six)DIGIT SIX
0x37	0x0037	#(seven)DIGIT SEVEN
0x38	0x0038	#(eight)DIGIT EIGHT
0x39	0x0039	#(nine)DIGIT NINE
0x3A	0x003A	#(colon)COLON
0x3B	0x003B	#(semicolon)SEMICOLON
0x3C	0x00AB	#(guillemotleft)LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
