#------- Adobe private
F6C9;Acute
F6CA;Caron
F6CB;Dieresis
F6CE;Grave
F6CF;Hungarumlaut
F6D0;Macron
F6D4;cyrbreve
F6D5;cyrflex
F6D6;dblgrave
F6DE;threequartersemdash
F724;dollaroldstyle
F730;zerooldstyle
F731;oneoldstyle
F732;twooldstyle
F733;threeoldstyle
F734;fouroldstyle
F735;fiveoldstyle
F736;sixoldstyle
F737;sevenoldstyle
F738;eightoldstyle
F739;nineoldstyle
F7A2;centoldstyle
#------- UCS presentation forms
FB00;ff
FB01;fi
FB02;fl
FB03;ffi
FB04;ffl
#------- LM private
E803;f_k
EA02;Breve
EA15;Circumflex
EA30;Dotaccent
EA40;Ring
EA44;Tilde
EB0F;copyleft
EB11;cwmascender
EB12;cwmcapital
EB28;S_S
EB40;leaf
EB4C;paragraph.alt
EB4D;perthousandzero
EB52;quotedblbase.ts1
EB56;quotesinglbase.ts1
EB63;tieaccentcapital
EB64;tieaccentcapital.new
EB65;tieaccentlowercase
EB66;tieaccentlowercase.new
EB6B;twelveudash
EC10;Orogate
EC11;orogate
#------- ZR private
#E9A0;lgroup *27EE MATHEMATICAL LEFT FLATTENED PARENTHESIS
#E9A1;rgroup *27EF MATHEMATICAL RIGHT FLATTENED PARENTHESIS
E9A2;arrowvert
E9A3;Arrowvert
E9A4;bracevert
#E9A5;lmoustache *23B0 UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION
#E9A6;rmoustache *23B1 UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION
E9A7;axisshort
E9A8;arrowaxisright
E9A9;arrowaxisleft
E9AA;vartriangle
E9AB;triangledown
E9AC;varpropto
E9C0;Cyrdelta
E9C1;cyrdelta
E9C2;Cyrsacrs
E9C3;cyrsacrs
E9C4;Cyrrdesc
E9C5;cyrrdesc
E9C6;Cyrmhk
E9C7;cyrmhk
#E9C8;Cyrnlhk *0528 CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK
#E9C9;cyrnlhk *0529 CYRILLIC SMALL LETTER EN WITH LEFT HOOK
E9CA;Cyrrhk
E9CB;cyrrhk
#------- end
